127.0.0.1, 2016-10-06 15:23:47, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.007000
127.0.0.1, 2016-10-06 15:23:47, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.005000
127.0.0.1, 2016-10-06 15:23:47, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-06 15:23:47, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-10-06 15:23:47, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-06 15:23:47, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-06 15:23:47, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-06 15:23:47, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-06 15:23:47, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-06 15:23:47, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-06 15:23:47, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-06 15:23:47, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-06 15:23:47, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-10-06 15:23:53, GET, /Admin_Panel/appadmin/hooks, HTTP/1.1, 404, 0.002000
127.0.0.1, 2016-10-06 15:23:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.037000
127.0.0.1, 2016-10-06 15:24:01, POST, /admin/default/edit/Dropshipping/controllers/default.py, HTTP/1.1, 200, 0.048000
127.0.0.1, 2016-10-06 15:24:04, GET, /welcome/default/index, HTTP/1.1, 200, 0.090000
127.0.0.1, 2016-10-06 15:24:04, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-06 15:24:04, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-06 15:24:04, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-06 15:24:04, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-06 15:24:04, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-06 15:24:04, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-10-06 15:24:04, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-06 15:24:04, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2016-10-06 15:24:04, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-06 15:24:04, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-06 15:24:04, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-06 15:24:04, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-10-06 15:24:04, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.004000
